4.1821243626,2.2451181519
3.6466935810,1.8815087632
4.2543646430,1.0556473031
3.5317388323,1.6982432935
4.1896233557,1.9102894204
4.1005203283,1.3071463843
5.1735354268,1.4576563813
4.4747726577,1.8322964731
3.4799246777,1.4909972168
2.7358843085,1.9804490013
3.7871450239,1.9379256908
3.7944694849,2.3332667838
3.4845004465,1.6987311086
2.8657149506,1.9177104865
4.0098501037,1.4097365920
4.6621358982,1.4409160213
2.9465374263,2.1760739679
3.3841449124,1.7170999996
4.7308781987,2.0048488314
3.7846700536,1.7195790071
1.9879291088,2.5071702953
1.9142366278,2.1729932094
3.2907117146,1.6797153330
4.2104132525,1.2845464793
4.1556266452,2.0902353525
4.2588449623,2.7366151400
4.9025211973,1.5880091530
3.8276214729,1.8853296700
3.5328454001,1.9229312308
4.9583503578,1.9498747900
4.3520269684,1.8501814678
4.5979269444,2.0504924567
3.1009381479,2.4379776498
3.3645275563,1.8939554132
2.3283373886,2.1577837455
3.3578440465,2.2783579122
4.6577354278,2.2759699978
3.6552509746,1.7077207394
4.3384375599,2.2170050878
4.2511721988,1.8527515061
3.9212186735,2.0398298441
3.2586199460,1.6924885689
4.1769629928,1.9356203910
3.8811898358,2.2433251295
2.7436205155,1.9322390565
3.5221893187,1.9843852242
4.1802228429,1.5886709615
3.8335028606,2.0559624265
5.1126239714,1.8734883083
4.6172269330,2.2117170563
